product_id,title,brand,category,tags,price
1,Acme Shoe 1,Acme,Shoe,summer wireless running,74.63
2,Acme Backpack 2,Acme,Backpack,leather office slim,19.12
3,Acme Tshirt 3,Acme,Tshirt,running travel office,17.6
4,Zen Backpack 4,Zen,Backpack,slim running classic,180.79
5,Acme Tshirt 5,Acme,Tshirt,summer slim noise-cancel,90.48
6,Zen PhoneCase 6,Zen,PhoneCase,leather winter slim,37.95
7,Nova Backpack 7,Nova,Backpack,wireless sport classic,165.41
8,Peak Shoe 8,Peak,Shoe,travel wireless gaming,189.27
9,Nova Backpack 9,Nova,Backpack,running summer leather,23.19
10,Zen PhoneCase 10,Zen,PhoneCase,leather running winter,120.14
11,Peak PhoneCase 11,Peak,PhoneCase,casual noise-cancel summer,70.66
12,Nova Shoe 12,Nova,Shoe,office gaming casual,164.8
13,Zen Tshirt 13,Zen,Tshirt,classic slim wireless,296.86
14,Zen PhoneCase 14,Zen,PhoneCase,winter sport running,248.22
15,Nova Headphone 15,Nova,Headphone,wireless leather running,274.71
16,Nova Tshirt 16,Nova,Tshirt,gaming classic slim,266.46
17,Peak Tshirt 17,Peak,Tshirt,wireless casual running,225.95
18,Nova Backpack 18,Nova,Backpack,slim office winter,114.88
19,Zen Backpack 19,Zen,Backpack,classic leather sport,259.62
20,Zen Tshirt 20,Zen,Tshirt,winter gaming slim,182.86
21,Peak Headphone 21,Peak,Headphone,office classic travel,82.81
22,Acme Shoe 22,Acme,Shoe,gaming travel wireless,232.79
23,Nova Shoe 23,Nova,Shoe,wireless slim casual,141.48
24,Nova Backpack 24,Nova,Backpack,winter casual travel,274.56
25,Nova Backpack 25,Nova,Backpack,office running casual,118.34
26,Zen Backpack 26,Zen,Backpack,winter travel sport,183.59
27,Peak Shoe 27,Peak,Shoe,leather noise-cancel wireless,79.34
28,Zen Backpack 28,Zen,Backpack,leather winter classic,246.55
29,Zen Tshirt 29,Zen,Tshirt,gaming classic travel,57.79
30,Peak Tshirt 30,Peak,Tshirt,travel summer running,216.66
31,Peak PhoneCase 31,Peak,PhoneCase,classic travel winter,44.99
32,Zen Shoe 32,Zen,Shoe,noise-cancel sport office,170.54
33,Zen Shoe 33,Zen,Shoe,leather summer gaming,26.97
34,Acme Shoe 34,Acme,Shoe,noise-cancel leather travel,78.92
35,Peak Tshirt 35,Peak,Tshirt,travel casual office,177.0
